src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.30.0.200,172.30.0.10,49658,8080,6,2026-05-06 00:25:25,0.018949,339437.43733178533,1002.6914349042165,580.5055675761254,422.1858673280912,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0010527222222222223,0.004717,0.0,0.0015278709880656937,0.018949,0.004836,0.0,0.0018949000000000001,0.0016872297087237413,0.018891,0.004806,0.000612,0.0026987142857142856,0.001429122479434317,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,307114.7658205219878441186986,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49670,8080,6,2026-05-06 00:25:25,0.012771,503641.0617805967,1487.7456737921855,861.3264427217916,626.419231070394,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0007095000000000001,0.002638,0.0,0.0009016968109563707,0.012771,0.002813,0.0,0.0012770999999999998,0.0009674299406158567,0.012723,0.002708,0.000402,0.0018175714285714288,0.0006638416026955435,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,489551.6717325227963525835866,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49672,8080,6,2026-05-06 00:25:25,0.019791,324996.2103986661,960.0323379313829,555.8081956444848,404.2241422868981,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0010995,0.005684,0.0,0.0016431146659790837,0.019791,0.00576,0.0,0.0019791,0.001976164945038749,0.019738,0.005787,0.000526,0.0028197142857142856,0.0018015429667994293,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,304322.1539914974019839395371,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49678,8080,6,2026-05-06 00:25:25,0.021972,292736.2097214637,864.7369379209904,500.63717458583653,364.09976333515385,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0012206666666666666,0.006262,0.0,0.0017549691355310687,0.021972,0.006396,0.0,0.0021971999999999994,0.0020407273605261432,0.021921,0.006509,0.000376,0.003131571428571429,0.0018074743908197946,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,266439.2059553349875930521092,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49686,8080,6,2026-05-06 00:25:25,0.011201,574234.443353272,1696.2771181144542,982.0551736452103,714.2219444692439,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0006222777777777777,0.001715,0.0,0.0007052594326089872,0.011201,0.00181,0.0,0.0011201000000000002,0.0007579852834983012,0.01114,0.002041,0.000389,0.0015914285714285713,0.0005121966299724179,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,596942.3210562890896455872133,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49690,8080,6,2026-05-06 00:25:25,0.012306,522671.86738176504,1543.9622948155372,893.8729075247848,650.0893872907525,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0006836666666666666,0.002451,0.0,0.000908854468242548,0.012306000000000001,0.002468,0.0,0.0012306000000000003,0.0009338834188484128,0.01224,0.002502,0.000495,0.0017485714285714285,0.0006224267844821721,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,505541.9323197645904855321236,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49692,8080,6,2026-05-06 00:25:25,0.010642,604397.6696109753,1785.3786882165007,1033.640293177974,751.7383950385266,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0005912222222222221,0.00239,0.0,0.0007413537583783659,0.010642,0.002475,0.0,0.0010642,0.0007880714180834121,0.010597,0.002463,0.00056,0.001513857142857143,0.0005165952902200628,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,597011.4676242325958531217422,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49706,8080,6,2026-05-06 00:25:25,0.0125,514560.0,1520.0,880.0,640.0,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0006944444444444445,0.002509,0.0,0.0008467240939987622,0.0125,0.00259,0.0,0.00125,0.0008881010077688236,0.012462,0.00259,0.000536,0.001780285714285714,0.0006016799610342728,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,511969.8023244263434985596503,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49718,8080,6,2026-05-06 00:25:25,0.011675,550920.7708779443,1627.408993576017,942.1841541755889,685.2248394004283,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0006486111111111111,0.00321,0.0,0.0008724389274320383,0.011675,0.003297,0.0,0.0011675,0.000977364849992059,0.011626,0.003433,0.00028,0.001660857142857143,0.0008524917140060539,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,532218.0916976456009913258984,0,536.0,67.0,0,11,8,5896,536
172.30.0.200,172.30.0.10,49732,8080,6,2026-05-06 00:25:25,0.0122,527213.1147540984,1557.3770491803277,901.639344262295,655.7377049180327,11,8,5896,536,925,66,536.0,426.1363418181813,74,66,67.0,2.6457513110645907,925,66,338.5263157894737,398.44016501471447,158754.5650969529,220,160,20,6,0.0006777777777777776,0.00231,0.0,0.0008461871053637905,0.0122,0.002464,0.0,0.00122,0.0009216768414146034,0.012161,0.002389,0.000285,0.0017372857142857142,0.0006390715842500888,6,0,0,0,2,3,0,6,17,0,0,0.7272727272727273,338.5263157894737,64240,65160,0,0,0,0,0,0,0,0,5154.0,6.0,0,0,512275.1217572805884106947620,0,536.0,67.0,0,11,8,5896,536
